"","h_1","h_2","h_3","h_4","h_5","h_6","h_7","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","cos_phi_2","cos_phi_3","cos_phi_4","cos_phi_5","cos_phi_6","cos_phi_7","B_r_1","B_r_2","B_r_3","B_r_4","B_r_5","B_r_6","B_R_1","B_R_2","B_R_3","B_R_4","B_R_5","B_R_6","ratio_2_4","ratio_2_6","ratio_4_6","inst_Phi_1","inst_Phi_2","inst_Phi_3","inst_Phi_4","inst_Phi_5","inst_Phi_6","inst_Theta_1","inst_Theta_2","inst_Theta_3","inst_Theta_4","inst_Theta_5","inst_Theta_6","V","V_1","V_2","V_3","V_4","V_5","V_6","V_7"
"if6 2 0-1_Spine21.mat",-0.0248104457091466,0.000270347000000004,0.005233555,0.042005329,0.088640582,0.073893268,0.104935323,-0.739811996,1.127299903,1.527350836,-3.068566348,-0.340305204,1.599386308,-0.144620946,-0.433680774,-0.679295684,-0.997373627,-0.967869587,-0.764526348,0.07206044,0.144292188,0.218377126,0.285287996,0.287872213,0.194766802,0.072059083,0.142070539,0.199987612,0.184719549,0.146763436,0.094238883,2.570688837,0.895361096,0.348296178,2.74280526,2.743935675,2.127855368,1.294953863,1.159883269,1.073405452,1.554450603,1.554472105,1.527035915,1.470610906,1.336958286,1.237113478,0.0237146050000001,8.07685999999926e-06,6.54115000000011e-05,0.003077276,0.010498453,0.016984303,0.01095151,0.001908223
"api m16 1 2-1_Spine217.mat",0.11336403486842,0.393318236,0.399002993,0.373267861,0.401804767,0.364545323,0.303270019,0.8192268,1.371482831,2.35323462,1.714721382,-1.158188609,0.164186129,-0.998729723,-0.995001056,-0.978081097,-0.96744478,-0.986702026,-0.955132989,0.202377902,0.278872703,0.207590425,0.341390584,0.290246996,0.476313488,0.11378133,0.117078609,0.097708737,0.182411124,0.160882605,0.231373917,1.907301269,3.375388122,1.769719434,3.084927351,2.288180167,2.309687914,-0.130488014,0.318954408,-0.126555173,1.467910609,1.532488735,1.420671314,1.460930606,1.515495732,1.346545201,0.346777309,0.008113676,0.03814497,0.034681073,0.049136457,0.066957314,0.095818965,0.041960025
"if6 2 15api_Spine125.mat",0.0348737851895398,0.191084076,0.183784995,0.20273419,0.209645043,0.201791719,0.133559013,1.466810995,3.07787064,-0.758712626,2.639681218,-2.82155805,-0.459234156,-0.819893196,-0.99624293,-0.975814047,-0.985231823,-0.997823789,-0.99435286,0.119337538,0.22490959,0.34430368,0.420540802,0.436616561,0.330369382,0.079714444,0.148655958,0.229389969,0.266164707,0.240660275,0.171407016,3.347867913,1.693706255,0.505905937,2.361626599,0.147309226,0.032114694,0.070107517,0.061476158,0.108818221,1.538897374,1.206502492,1.102600767,1.10644106,1.099488281,1.075868385,0.24488972,0.001925109,0.013092221,0.038300592,0.072922465,0.085065349,0.059474274,0.011871142
"m16 1 10 api_Spine182.mat",0.0339642305863183,0.289391165,0.28319229,0.279361575,0.284947764,0.274230473,0.190671367,2.240637228,0.817752308,0.265326831,-0.638455188,1.350632808,-2.240099741,-0.947507503,-0.990445206,-0.990295771,-0.99799807,-0.998560177,-0.980505526,0.215580769,0.256340878,0.313205445,0.383251492,0.396406783,0.281744586,0.172889069,0.22607162,0.265272596,0.304112112,0.297196098,0.220700709,2.011192588,1.072989311,0.533508982,1.207110661,-0.506533367,-0.422315233,-0.295017902,-0.264511676,-0.386505521,1.518288255,1.44494107,1.385966565,1.360261161,1.358989168,1.390547024,0.398045902,0.008956062,0.045602472,0.068349285,0.093506011,0.111019565,0.080343301,0.016673973
"if6 2 20-2_Spine82.mat",0.0822618062089728,0.130650991,0.209266173,0.163880003,0.183015038,0.193005951,0.175448259,1.623021606,0.223201204,-2.606516292,-2.434162336,1.743629205,1.500040546,-0.966274485,-0.981384555,-0.990552799,-0.964154915,-0.920431338,-0.923886448,0.182197991,0.345479505,0.317284537,0.400202664,0.46743849,0.446343062,0.137204844,0.134470522,0.145922711,0.176226066,0.18235913,0.144703598,1.518101261,1.390268675,0.915794427,1.247219127,0.453569435,-0.012164682,0.274499802,0.532637819,0.628340838,1.410287301,1.472282373,1.414241804,1.380462686,1.382365833,1.331638091,0.187464751,0.003377922,0.024910761,0.041300538,0.04462071,0.062552068,0.062272437,0.01778688
"if6 1 1-1_Spine16.mat",0.0677244507889574,0.082946432,0.107737946,0.115833727,0.112695077,0.107529432,0.12512513,0.947215849,2.38738455,1.395987293,2.898202085,2.298665941,2.106153093,-0.881416416,-0.972934911,-0.985067571,-0.994213767,-0.998082658,-0.929280708,0.107048316,0.169130539,0.204299293,0.212632622,0.222190722,0.206705307,0.098638372,0.14621965,0.162632151,0.174998358,0.156857173,0.105540867,1.504652102,0.882154215,0.586284507,-1.604969722,-0.227140372,-0.060694618,-0.213219067,-0.279479897,-0.588674263,1.326831001,1.448953885,1.4120525,1.356116827,1.325523106,1.342836006,0.047390093,0.000858471,0.00638977,0.013119467,0.015557292,0.016077233,0.011835544,0.003078065
"m16 1 2-1_Spine69.mat",-0.0455910337542607,0.013463282,0.086391902,0.126852013,0.106701454,0.104767442,0.044554689,1.791391747,1.453335682,2.81862017,0.321570781,-0.833645175,2.158197705,-0.921543665,-0.76777233,-0.891981867,-0.804596967,-0.886826823,-0.920587584,0.128158475,0.256627181,0.368414606,0.402884471,0.354565492,0.230082165,0.128018981,0.24638848,0.289572124,0.323344077,0.257672062,0.132762487,2.060261691,0.483098047,0.234483828,-2.949364974,-0.28918738,0.152764738,-0.202966653,-0.298211661,-0.312964551,1.56479305,1.481541027,1.274607218,1.122812321,1.05979235,0.985917441,0.105615141,0.000260911000000001,0.006424507,0.029982425,0.059000373,0.058398005,0.026253365,0.002839558
"if6 1 5-3_Spine12.mat",0.0719567036754918,0.096715389,0.094657404,0.149307791,0.169263403,0.163727893,0.166174189,-1.668633533,-2.964863173,1.860455888,1.536784973,-0.134988376,1.086705416,-0.994073948,-0.998941181,-0.9390352,-0.961447973,-0.997801512,-0.85087747,0.156738942,0.30883485,0.446444166,0.548904113,0.558862917,0.394452706,0.105372115,0.171748273,0.231647494,0.27917293,0.263316992,0.15922945,2.889023733,1.184130736,0.409872277,1.948251862,2.080070201,3.003719508,2.912168954,1.768242086,1.574142199,1.262890103,1.401446397,1.460835702,1.483961871,1.434532537,1.361811997,0.220991598,0.002587903,0.020114894,0.054754802,0.109706993,0.135329447,0.085885477,0.013619033
"m16 1 6-3_Spine27.mat",0.0180397184648662,0.321208241,0.329970489,0.305560225,0.318925063,0.295414554,0.18381365,1.724284866,0.322386563,1.723468048,-3.110509731,-2.072813225,2.845757989,-0.976543237,-0.963351912,-0.973619927,-0.994285731,-0.992484466,-0.854188139,0.281992997,0.376743187,0.416865429,0.551012318,0.608013402,0.468444077,0.192829707,0.202611672,0.256675825,0.371927375,0.448315298,0.326223124,2.68478544,2.00199333,0.74568094,1.222981434,-0.936987614,0.518048772,0.360135359,0.293224704,0.363715956,1.519540816,1.54907551,1.477473685,1.340504866,1.291583333,1.293660919,0.792974933,0.015797502,0.077721084,0.10795928,0.16299738,0.267826407,0.220414726,0.032414341
"if6 1 5-3_Spine68.mat",0.085335305836959,0.387017027,0.410091323,0.35525258,0.34482382,0.386778426,0.366353945,-0.900714686000001,2.835996468,0.722928746,1.999783843,2.32371407,2.043631298,-0.972808518,-0.96819912,-0.910215684,-0.949728225,-0.984426967,-0.942931032,0.367065738,0.412247661,0.284463731,0.377599966,0.568749327,0.567574066,0.167668241,0.145854298,0.12088788,0.188480224,0.291593832,0.269531843,1.183641821,2.54422309,2.149487324,2.813881391,3.072793152,1.80837367,1.427509254,0.852733728,0.612364125,1.433443583,1.456141144,1.426802401,1.389713377,1.398853786,1.375425205,0.591532539,0.02211422,0.092788441,0.07045188,0.065107921,0.1416605,0.212981923,0.066360556
